0,C-0008,CP-018,C-0008,B-005,Round,Flat Bottom,17.0,0.0,0.0,No,22.0,0.0,Yes,Yes,0.032
1,C-0009,CP-018,C-0009,B-004,Round,Flat Bottom,13.0,0.0,0.0,No,25.0,0.0,No,Yes,0.033
2,C-0020,CP-018,C-0020,B-005,Round,Saddle,28.4,0.0,0.0,No,35.0,0.0,Yes,Yes,0.07
3,C-0054,CP-018,C-0054,B-005,Round,Saddle,27.1,0.0,0.0,No,0.0,0.0,Yes,Yes,0.18
4,C-0071,CP-018,C-0071,B-005,Round,Shoulder,20.0,0.0,0.0,No,30.0,23.0,Yes,Yes,0.08
5,C-0082,CP-018,C-0082,B-002,Round,Saddle,15.65,0.0,0.0,No,0.0,0.0,Yes,Yes,0.043
8,C-0111,CP-018,C-0111,B-009,Round,Shoulder,19.0,0.0,0.0,No,35.0,30.0,Yes,Yes,0.1
9,C-0117,CP-018,C-0117,B-005,Round,Saddle,22.0,0.0,0.0,No,25.4,0.0,No,Yes,0.081
10,C-0151,CP-018,C-0151,B-005,Round,Saddle,17.9,0.0,0.0,No,0.0,0.0,Yes,Yes,0.047
12,C-0165,CP-018,C-0165,B-005,Round,Shoulder,12.0,0.0,0.0,No,30.0,25.0,No,Yes,0.046
13,C-0177,CP-018,C-0177,B-005,Round,Saddle,24.0,0.0,0.0,No,0.0,0.0,Yes,Yes,0.122
14,C-0199,CP-018,C-0199,B-004,Round,Shoulder,23.6,0.0,0.0,No,33.33,23.9,Yes,Yes,0.1
15,C-0208,CP-018,C-0208,B-002,Round,Saddle,15.75,0.0,0.0,No,0.0,0.0,No,Yes,0.023
16,C-0209,CP-018,C-0209,B-002,Round,Saddle,15.75,0.0,0.0,No,0.0,0.0,No,Yes,0.022000000000000002
17,C-0213,CP-018,C-0213,B-002,Round,Saddle,22.35,0.0,0.0,No,0.0,0.0,No,Yes,0.159
18,C-0214,CP-018,C-0214,B-002,Round,Saddle,19.05,0.0,0.0,No,0.0,0.0,No,Yes,0.059000000000000004
19,C-0215,CP-018,C-0215,B-002,Round,Saddle,17.53,0.0,0.0,No,0.0,0.0,No,Yes,0.033
20,C-0242,CP-018,C-0242,B-005,Round,Flat Bottom,20.0,0.0,0.0,No,32.0,0.0,Yes,Yes,0.08
22,C-0245,CP-018,C-0245,B-004,Round,Shoulder,20.5,0.0,0.0,No,26.9,20.6,Yes,Yes,0.1
23,C-0255,CP-018,C-0255,B-005,Round,Saddle,25.0,0.0,0.0,No,0.0,0.0,Yes,Yes,0.127
25,C-0258,CP-018,C-0258,B-005,Round,Saddle,20.9,0.0,0.0,No,0.0,0.0,Yes,Yes,0.192
26,C-0260,CP-018,C-0260,B-005,Round,Saddle,25.4,0.0,0.0,No,0.0,0.0,Yes,Yes,0.18600000000000003
27,C-0262,CP-018,C-0262,B-009,Round,Saddle,20.6,0.0,0.0,No,0.0,0.0,Yes,Yes,0.158
29,C-0274,CP-018,C-0274,B-005,Round,Saddle,39.33,0.0,0.0,No,40.0,0.0,Yes,Yes,0.37799999999999995
30,C-0278,CP-018,C-0278,B-002,Round,Saddle,14.22,0.0,0.0,No,0.0,0.0,No,Yes,0.015
32,C-0348,CP-018,C-0348,B-005,Round,Saddle,19.1,0.0,0.0,No,0.0,0.0,Yes,Yes,0.045
33,C-0356,CP-018,C-0356,B-005,Round,Shoulder,8.0,0.0,0.0,No,35.0,30.0,Yes,Yes,0.12
34,C-0358,CP-018,C-0358,B-009,Round,Saddle,38.4,0.0,0.0,No,0.0,0.0,Yes,Yes,0.154
36,C-0393,CP-018,C-0393,B-005,Hex,Shoulder,24.0,0.0,0.0,No,22.0,12.24,Yes,Yes,0.06
37,C-0405,CP-018,C-0405,B-005,Round,Shoulder,10.0,0.0,0.0,No,30.0,20.0,Yes,Yes,0.05
