0,TA-00002,S-0066,2013-07-07,0,0,Yes,1,21.905933019146104
1,TA-00002,S-0066,2013-07-07,0,0,Yes,2,12.3412139792904
2,TA-00002,S-0066,2013-07-07,0,0,Yes,5,6.601826143565379
3,TA-00002,S-0066,2013-07-07,0,0,Yes,10,4.6877695119712
4,TA-00002,S-0066,2013-07-07,0,0,Yes,25,3.5415611802607296
5,TA-00002,S-0066,2013-07-07,0,0,Yes,50,3.2244064477000696
6,TA-00002,S-0066,2013-07-07,0,0,Yes,100,3.08252143576504
7,TA-00002,S-0066,2013-07-07,0,0,Yes,250,2.99905966403855
8,TA-00004,S-0066,2013-07-07,0,0,Yes,1,21.9727024365273
9,TA-00004,S-0066,2013-07-07,0,0,Yes,2,12.4079833966715
10,TA-00004,S-0066,2013-07-07,0,0,Yes,5,6.668595560946571
11,TA-00004,S-0066,2013-07-07,0,0,Yes,10,4.75453892935239
12,TA-00004,S-0066,2013-07-07,0,0,Yes,25,3.60833059764193
13,TA-00004,S-0066,2013-07-07,0,0,Yes,50,3.2911758650812595
14,TA-00004,S-0066,2013-07-07,0,0,Yes,100,3.14929085314623
15,TA-00004,S-0066,2013-07-07,0,0,Yes,250,3.06582908141974
16,TA-00005,S-0066,2013-09-01,0,0,Yes,1,28.3742203279491
17,TA-00005,S-0066,2013-09-01,0,0,Yes,2,16.5143025656149
18,TA-00005,S-0066,2013-09-01,0,0,Yes,5,9.397795496402802
19,TA-00005,S-0066,2013-09-01,0,0,Yes,10,7.027481179370481
20,TA-00005,S-0066,2013-09-01,0,0,Yes,25,5.603066941905039
21,TA-00005,S-0066,2013-09-01,0,0,Yes,50,5.19410426044524
22,TA-00005,S-0066,2013-09-01,0,0,Yes,100,5.00770630358941
23,TA-00005,S-0066,2013-09-01,0,0,Yes,250,4.89642394128743
24,TA-00012,S-0066,2013-08-11,0,0,Yes,1,22.4150498266777
25,TA-00012,S-0066,2013-08-11,0,0,Yes,2,12.8503307868219
26,TA-00012,S-0066,2013-08-11,0,0,Yes,5,7.1137250101545195
27,TA-00012,S-0066,2013-08-11,0,0,Yes,10,5.1996683785603395
28,TA-00012,S-0066,2013-08-11,0,0,Yes,25,4.050677987792319
29,TA-00012,S-0066,2013-08-11,0,0,Yes,50,3.73630531428921
30,TA-00012,S-0066,2013-08-11,0,0,Yes,100,3.5944203023541803
31,TA-00012,S-0066,2013-08-11,0,0,Yes,250,3.51095853062769
32,TA-00013,S-0026,1992-07-21,50,1,No,1,10.0042843709486
33,TA-00014,S-0066,2013-03-17,0,0,Yes,1,21.994958908987698
34,TA-00014,S-0066,2013-03-17,0,0,Yes,2,12.430239869131901
35,TA-00014,S-0066,2013-03-17,0,0,Yes,5,6.690852033406959
36,TA-00014,S-0066,2013-03-17,0,0,Yes,10,4.77957746087034
37,TA-00014,S-0066,2013-03-17,0,0,Yes,25,3.6305870701023197
38,TA-00014,S-0066,2013-03-17,0,0,Yes,50,3.31621439659921
39,TA-00014,S-0066,2013-03-17,0,0,Yes,100,3.1743293846641802
40,TA-00014,S-0066,2013-03-17,0,0,Yes,250,3.0880855538801404
41,TA-00021,S-0030,2014-02-10,1,1,No,1,3.4330608770163
42,TA-00022,S-0013,2011-07-27,1,1,No,1,8.5631777791379
43,TA-00024,S-0066,2013-08-01,0,0,Yes,1,20.9349944080613
44,TA-00024,S-0066,2013-08-01,0,0,Yes,2,11.3702753682055
45,TA-00024,S-0066,2013-08-01,0,0,Yes,5,5.63366959153809
46,TA-00024,S-0066,2013-08-01,0,0,Yes,10,3.7196129599439103
47,TA-00024,S-0066,2013-08-01,0,0,Yes,25,2.57340462823345
48,TA-00024,S-0066,2013-08-01,0,0,Yes,50,2.25624989567278
49,TA-00024,S-0066,2013-08-01,0,0,Yes,100,2.1143648837377502
50,TA-00024,S-0066,2013-08-01,0,0,Yes,250,2.03090311201126
51,TA-00025,S-0066,2013-08-01,0,0,Yes,1,20.7819811598961
52,TA-00025,S-0066,2013-08-01,0,0,Yes,2,11.2172621200403
53,TA-00025,S-0066,2013-08-01,0,0,Yes,5,5.47787428431531
54,TA-00025,S-0066,2013-08-01,0,0,Yes,10,3.56659971177868
